,Code,channel,comments,engagement_anger,engagement_haha,engagement_like,engagement_love,engagement_sorry,engagement_wow,link,postId,reach,shares,text,time,type
343,0,SRF News,0,0,0,10,0,0,0,http://www.facebook.com/permalink.php?story_fbid=1548801541901488&id=289943751120613,289943751120613_1548801541901488,4626,0,Ein echter Fan jubelt auch mitten in der Nacht. Zumindest für Olympia-Bronze.,15.02.2018 16:48:30,Video
344,0,SRF Kultur,4,0,0,24,0,0,1,http://www.facebook.com/permalink.php?story_fbid=1708350479226765&id=106604179401411,106604179401411_1708350479226765,2800,3,"Die Fotografin Giulia Mangione ist mit der Transsibirischen Bahn gereist – und hat eindrückliche Fotos mitgebracht.

(via SPIEGEL ONLINE)",15.02.2018 16:45:22,Link
345,0,SRF DOK,36,0,0,213,11,0,2,http://www.facebook.com/permalink.php?story_fbid=1895086743867161&id=233410473368138,233410473368138_1895086743867161,16511,14,"11’000 Mal pro Jahr startet ein Rega-Heli zu einer Rettungsaktion, rund 1000 Mal ein Ambulanzjet. Der Film «Rega  1414 – Hilfe naht» zeigt beide Bereiche mit den emotionalsten Geschichten der erfolgreichen Rega-Serie aus dem Jahr 2016. 15. Februar, 20.05 Uhr, SRF 1",15.02.2018 16:43:00,Video
346,0,SRF Kultur,0,0,0,3,0,0,0,http://www.facebook.com/permalink.php?story_fbid=1708298062565340&id=106604179401411,106604179401411_1708298062565340,573,0,Ein riesiger Asteroid rast auf die Erde zu – der Plot vieler Sci-Fi Filme. Diese Filmszene kann Realität werden. Wie kann man die Erde dann schützen? https://www.srf.ch/kultur/wissen/abwehr-von-asteroiden-koennen-atombomben-die-erde-vor-asteroiden-schuetzen,15.02.2018 15:44:49,Photo
347,0,SRF News,21,2,12,20,1,2,12,http://www.facebook.com/permalink.php?story_fbid=1548745768573732&id=289943751120613,289943751120613_1548745768573732,6955,6,Neuer Rekord – Autonummer in Zug für 233'000 Franken versteigert. ^li,15.02.2018 15:37:13,Video
348,0,SRF Sport,49,3,7,36,0,15,2,http://www.facebook.com/permalink.php?story_fbid=2139553072736492&id=126546190703867,126546190703867_2139553072736492,14850,0,Grosse Ernüchterung für die Schweizer Eishockey-Nati: Zum Olympia-Start gibt's gegen Kanada eine 1:5-Niederlage.,15.02.2018 15:19:28,Link
349,0,SRF News,54,48,14,16,0,2,5,http://www.facebook.com/permalink.php?story_fbid=1548694298578879&id=289943751120613,289943751120613_1548694298578879,7346,2,Postauto-Skandal: Der Verwaltungsratspräsident Urs Schwaller spricht der Post-Chefin Susanne Ruoff sein Vertrauen aus. Für sie gelte weiterhin die Unschuldsvermutung. Die Untersuchung wird nun durch eine Taskforce koordiniert. ^sk,15.02.2018 14:36:57,Photo
350,0,SRF Sport,6,0,16,86,0,0,1,http://www.facebook.com/permalink.php?story_fbid=10155645081203402&id=126546190703867,126546190703867_10155645081203402,25332,6,Zwei Flachländer wagen sich aufs Glatteis: Ausrutscher und Tanzeinlage inklusive! 🥌💃 Curling-Crack Carmen Schäfer coacht Philippe Gerber & Charles Nguela. Alle Folgen in voller Länge gibt's jeweils in der Sendung «Chaempieon».,15.02.2018 14:21:49,Video
351,0,SRF Sport,3,0,0,256,0,0,3,http://www.facebook.com/permalink.php?story_fbid=2139463026078830&id=126546190703867,126546190703867_2139463026078830,9743,3,Johannes Bö holt im Biathlon über 20 km Gold. Benjamin Weger sichert sich mit einer starken Leistung als Sechster ein Diplom. 📜,15.02.2018 14:09:32,Link
352,0,SRF 3,34,0,1,42,2,0,0,http://www.facebook.com/permalink.php?story_fbid=10155645051893402&id=48486263401,48486263401_10155645051893402,21898,1,BRAVO Hits gibt's morgen zum 100. Mal – und jeder (sogar Fabio Nay) hat seine Lieblingsnummer. Poste sie MIT LIEBLINGSSONG in die Kommentare und mit etwas Glück hörst du ihn morgen im Radio! 🎶,15.02.2018 14:03:08,Photo
