Region,Jahr,1.1.0 Anzahl Beschäftigte auf Etatstellen,1.2.0 Anzahl Etatstellen,1.3.0 Anzahl Beschäftigte auf Temporärstellen,1.4.0 Anzahl Temporärstellen,2.1.0 Laufmeter erschlossenes Archivgut (Papier),2.2.0 Gesamtanzahl der Verzeichnungseinträge,3.1.0 Laufmeter Neuzugänge im Berichtsjahr,3.2.0 Laufmeter neu erschlossenes Archivgut,3.3.0 Anzahl neu erfasster Verzeichnungseinträge,4.1.1 Anzahl Arbeitsplätze im Lesesaal,4.1.2 Anzahl Öffnungstage pro Woche,4.1.3 Öffnungszeiten pro Woche in Stunden,4.2.1 Anzahl Benutzende des Lesesaals,4.2.2 Anzahl Benutzungstage im Lesesaal,4.2.3 Anzahl bestellter Archivalieneinheiten,4.2.4 Anzahl schriftlicher Antworten,5.1.1 Anzahl Seiten der Website,5.1.2 Anzahl Seitenaufrufe auf der Website,5.1.3 Anzahl Besuchende der Webseite,5.1.4 Anzahl Besuche der Website (länger als 15 Minuten),5.2.1 Anzahl online recherchierbarer Verzeichnungseinheiten,5.2.2 Anzahl Seitenaufrufe im Online-Verzeichnis,5.2.3 Anzahl Besuchende im Online-Verzeichnis,5.2.4 Anzahl Besuche im Online-Verzeichnis (länger als 15 Minuten),5.3.1 Anzahl online nutzbarer Archivalieneinheiten,5.3.2 Anzahl online genutzter Archivalieneinheiten,5.3.3 Anzahl Besuchende im Viewer,5.3.4 Anzahl Besuche im Viewer
NW : Nidwalden,2016,6,4,2,1.1,4’100,109’143,183,228,9’166,9,4,32,277,518,2’092,276,45,7’662,4’617,n.a.,58’474,n.a.,n.a.,n.a.,0,0,0,0
OW : Obwalden,2013,3,2.5,1,0.2,1’024,126’255,25,29,703,2,0,0,53,118,536,104,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,0,0,0
OW : Obwalden,2014,4,3.3,1,0.2,1’154,136’448,138,130,21’620,4,5,40,74,175,972,126,25,3’898,2’471,n.a.,55’897,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
OW : Obwalden,2015,4,3.3,1,0.2,1’320,154’943,256,126,18’495,4,5,40,66,158,789,188,26,5’019,3’191,n.a.,61’974,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
OW : Obwalden,2016,4,3.3,1,0.2,1’494,173’750,327,234,30’606,4,5,40,110,243,1’076,248,27,5’475,3’284,n.a.,87’908,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"SG : Sankt Gallen,2013,14,""11,6"",8,2.1,6’944,489’776,133,139,85’500,15,4,33,353,661,3’131,1’070,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,0,0,0"
SG : Sankt Gallen,2014,14,11.6,13,2.8,7’138,533’101,324,194,43’325,15,4,33,282,726,3’501,1’212,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
SG : Sankt Gallen,2015,14,11.6,12,2.6,7’263,571’519,142,125,38’418,15,4,33,274,821,2’803,1’281,58,409’661,309’201,4’051,310’997,n.a.,n.a.,n.a.,114’419,n.a.,n.a.,n.a.
SG : Sankt Gallen,2016,14,11.6,10,2.1,7’948,653’738,107,108,82’219,15,4,33,338,913,3’896,1’367,61,419’110,329’866,13’038,369’635,5’413,2’978,n.a.,150’458,n.a.,n.a.,n.a.
SH : Schaffhausen,2013,4,2.8,3,1,3’100,94’670,90,119,8’086,8,4,28,110,466,1’499,566,95,n.a.,n.a.,n.a.,75’728,n.a.,n.a.,n.a.,0,0,0,0
SH : Schaffhausen,2014,5,3.8,3,1,3’200,99’000,50,100,6’000,8,4,28,114,366,1’599,933,95,n.a.,n.a.,n.a.,73’000,n.a.,n.a.,n.a.,0,0,0,0
SH : Schaffhausen,2015,5,3.8,2,1,3’300,105’441,118,61,6’441,8,4,28,81,393,1’319,690,96,n.a.,n.a.,n.a.,73’436,n.a.,n.a.,n.a.,0,0,0,0
SH : Schaffhausen,2016,4,2.8,2,0.8,3’345,115’869,43,19,8’919,8,4,28,102,435,1’444,734,100,n.a,n.a,n.a,73’577,n.a,n.a,n.a,0,0,0,0
"SO : Solothurn,2013,6,""5,6"",0,0,n.a.,0,206,0,0,20,4,28,247,684,1’420,256,52,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,0,0,0,0"
"SO : Solothurn,2014,7,""6,6"",0,0,n.a.,0,13,3,0,20,4,28,253,878,1’991,293,52,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,0,0,0,0"
SO : Solothurn,2015,7,6.6,0,0,n.a.,0,109,2,0,20,4,28,217,730,1’577,271,52,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,0,0,0,0
SO : Solothurn,2016,8,7.6,1,0.3,n.a.,0,119,5,0,20,4,28,193,589,1’316,296,52,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,0,0,0,0
SZ : Schwyz,2013,6,5,3,1,4’489,191’755,151,83,18’584,12,5,38,600,545,2’078,908,7,n.a.,n.a.,n.a.,89’509,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
SZ : Schwyz,2014,6,5,2,0.6,4’710,209’314,236,221,17’559,12,5,38,134,461,1’475,1’061,7,n.a.,n.a.,n.a.,107’552,n.a.,n.a.,n.a.,0,0,0,0
SZ : Schwyz,2015,6,5,3,0.7,4’852,253’022,143,142,11’357,12,4,35,103,401,1’405,1’560,8,n.a.,n.a.,n.a.,119’081,n.a,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
SZ : Schwyz,2016,6,5,2,0.7,4’932,189’687,134,80,n.a.*,12,4,35,119,476,2’414,1’250,19,n.a.,n.a.,n.a.,129’195,n.a.,n.a.,n.a.,38’662,n.a.,n.a.,n.a.
TG : Thurgau,2013,16,11.3,7,1.5,5’000,391’089,682,25,38’848,20,5,36,269,903,4’012,525,21,13’647,8’447,757,117’376,n.a.,n.a.,n.a.,0,0,0,0
TG : Thurgau,2014,16,11.3,13,1.7,5’000,448’620,275,154,57’531,20,5,36,275,590,4’255,556,21,17’288,10’437,1’001,146’161,n.a.,n.a.,n.a.,0,0,0,0
TG : Thurgau,2015,16,11.3,8,1.7,5’200,496’384,472,199,47’764,20,5,36,251,548,4’129,634,21,18’904,11’823,949,176’566,n.a.,n.a.,n.a.,0,0,0,0
TG : Thurgau,2016,16,12.3,8,1.4,5’266,568’479,1’138,66,72’095,20,4,32,235,871,4’255,556,21,20’838,13’939,957,184’534,n.a.,n.a.,n.a.,0,0,0,0
TI : Ticino,2013,21,17.7,5,3.6,22’954,830’000,48,387,15’500,20,5,42,404,6’408,4’854,1’300,29,n.a.,n.a.,n.a.,26’345,n.a.,n.a.,n.a.,17’401,n.a.,n.a.,n.a.
TI : Ticino,2014,18,16.7,6,3.9,23’287,841’600,333,321,11’600,20,5,42,399,5’714,4’156,1’350,29,44’305,34’189,15’962,27’763,n.a.,n.a.,n.a.,17’833,n.a.,n.a.,n.a.
TI : Ticino,2015,20,16.2,9,4.1,23’464,854’800,177,654,13’200,20,5,42,324,4’789,3’684,1’053,55,30’055,25’069,11’961,29’325,n.a.,n.a.,n.a.,19’346,n.a.,n.a.,n.a.
TI : Ticino,2016,19,15.2,8,4.1,23’599,909’800,135,395,55’000,20,5,42,358,5’550,4’276,1’123,56,38’251,31’499,14’874,31’508,n.a,n.a,n.a,21’390,n.a.,n.a.,n.a.
UR : Uri,2013,7,5.1,1,0.1,2’018,n.a.,81,118,n.a.,31,6,41,149,1’010,4’850,502,100,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
UR : Uri,2014,7,5.1,1,0.3,2’066,n.a.,57,48,n.a.,31,6,41,122,310,2’889,579,100,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
UR : Uri,2015,7,5.1,1,0.1,2’089,n.a.,135,22,n.a.,31,6,41,121,258,2’090,609,100,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
UR : Uri,2016,7,4.7,3,0.2,2’154,110’000,38,65,n.a.,31,6,41,107,243,1’889,691,100,n.a.,n.a.,n.a.,59’354,n.a.,n.a.,n.a.,37’215,n.a.,n.a.,n.a.
VD : Vaud,2013,15,13.1,24,8.4,32’867,519’470,844,4’618,40’056,40,5,37,1’130,5’305,29’486,1’100,350,n.a.,174’565,n.a.,519’470,1’899’093,n.a.,13’616,3’918,n.a.,n.a.,n.a.
VD : Vaud,2014,15,13.1,29,9.7,33’418,577’522,551,598,58’019,40,5,37,1’095,3’912,30’274,1’157,350,n.a.,195’787,n.a.,577 522,1’255’862,82 618,143’333,577’522,n.a.,n.a.,n.a.
"VD : Vaud,2015,15,13.1,30,""7,6"",34’945,604’149,1’529,673,26’585,40,5,37,1’043,3’849,41’085,1’145,350,n.a,228’089,n.a,4’001,2’172’889,n.a,29’641,16’648,n.a.,n.a.,n.a."
"VD : Vaud,2016,15,""13,1"",26,""8,4"",35’489,710’264,544,1’430,106’115,40,5,37,1’129,3’916,30’926,1’073,350,1’202’415,138’824,211,710’264,1’707’349,123’095,27’280,4’068,n.a.,n.a.,n.a."
VS : Valais,2013,12,9.6,10,5,12’900,250’000,355,250,n.a.,12,6,47,274,1’122,4’528,234,76,9’605,n.a.,n.a.,209’988,n.a.,n.a.,n.a.,0,0,0,0
VS : Valais,2014,12,9.6,10,5,12’900,260’000,615,450,10’000,12,6,47,299,1’390,3’006,111,76,10’748,n.a.,n.a.,228’562,n.a.,n.a.,n.a.,0,0,0,0
VS : Valais,2015,12,9.6,28,15,13’000,263’604,260,710,3’604,12,6,47,277,1’310,3’036,240,36,n.a.,n.a.,n.a.,213’635,n.a.,n.a.,n.a.,0,0,0,0
VS : Valais,2016,12,9.6,15,4,13’262,267’893,595,720,4’289,16,6,51,254,1’184,3’261,250,187,n.a.,n.a.,n.a.,236’208,n.a.,n.a.,n.a.,0,0,0,0
ZG : Zug,2013,13,8.3,4,0.8,5’887,140’695,265,210,2’856,12,5,33,265,736,3’134,369,48,11’699,n.a.,9’056,185’467,n.a.,n.a.,n.a.,0,0,0,0
ZG : Zug,2014,13,8.3,6,2,6’113,172’423,288,226,31’728,15,5,33,255,706,4’478,455,48,12’410,n.a.,9’391,178’667,n.a.,n.a.,n.a.,0,0,0,0
ZG : Zug,2015,13,8.3,7,1.6,6’308,193’003,170,195,20’580,13,5,39,242,666,5’089,900,34,10’917,n.a.,8’619,178’667,n.a.,n.a.,n.a.,0,0,0,0
ZG : Zug,2016,13,8.3,6,1.6,6’493,207’364,208,184,14’361,13,5,39,304,675,3’258,1’029,25,10’070,n.a.,7’867,197’059,n.a.,n.a.,n.a.,0,0,0,0
ZH : Zürich,2013,50,36.8,21,19.2,32’334,923’794,838,683,159’630,54,5,42,1’302,4’134,9’787,869,98,511’884,n.a.,9’538,378’621,5’480’714,n.a.,242’362,4’650,n.a.,n.a.,n.a.
