"1073582459869122562","Fri Dec 14 14:16:19 +0000 2018",
"1073582398032494592","Fri Dec 14 14:16:04 +0000 2018",
"1073582397613113344","Fri Dec 14 14:16:04 +0000 2018",
"1073582216054300672","Fri Dec 14 14:15:21 +0000 2018",
"1073582165969887234","Fri Dec 14 14:15:09 +0000 2018",
"1073582137960488960","Fri Dec 14 14:15:02 +0000 2018",
"1073581915318439943","Fri Dec 14 14:14:09 +0000 2018",
"1073581874415431680","Fri Dec 14 14:13:59 +0000 2018",
"1073581775807528960","Fri Dec 14 14:13:36 +0000 2018",
"1073581558257324033","Fri Dec 14 14:12:44 +0000 2018",
"1073581053783224320","Fri Dec 14 14:10:44 +0000 2018",
"1073580901731315714","Fri Dec 14 14:10:07 +0000 2018",
"1073580810467491841","Fri Dec 14 14:09:46 +0000 2018",
"1073580325488480256","Fri Dec 14 14:07:50 +0000 2018",
"1073580316617572352","Fri Dec 14 14:07:48 +0000 2018",
"1073580288998027264","Fri Dec 14 14:07:41 +0000 2018",
"1073580229489242112","Fri Dec 14 14:07:27 +0000 2018",
"1073580171477831680","Fri Dec 14 14:07:13 +0000 2018",
"1073579954179317760","Fri Dec 14 14:06:21 +0000 2018",
"1073579862273609728","Fri Dec 14 14:05:59 +0000 2018",
"1073579802836328448","Fri Dec 14 14:05:45 +0000 2018",
"1073579733747679232","Fri Dec 14 14:05:29 +0000 2018",
"1073579646959144965","Fri Dec 14 14:05:08 +0000 2018",
"1073579559126253568","Fri Dec 14 14:04:47 +0000 2018",
"1073579503727841281","Fri Dec 14 14:04:34 +0000 2018",
"1073579389122539521","Fri Dec 14 14:04:07 +0000 2018",
"1073579355031318533","Fri Dec 14 14:03:59 +0000 2018",
"1073578854101454853","Fri Dec 14 14:01:59 +0000 2018",
"1073578691903537153","Fri Dec 14 14:01:20 +0000 2018",
"1073578616729100294","Fri Dec 14 14:01:03 +0000 2018",
"1073578552803635200","Fri Dec 14 14:00:47 +0000 2018",
"1073578510885695488","Fri Dec 14 14:00:37 +0000 2018",
"1073578379713146883","Fri Dec 14 14:00:06 +0000 2018",
"1073578375720198146","Fri Dec 14 14:00:05 +0000 2018",
"1073578354626842625","Fri Dec 14 14:00:00 +0000 2018",
"1073578353771376640","Fri Dec 14 14:00:00 +0000 2018",
"1073578220887334913","Fri Dec 14 13:59:28 +0000 2018",
"1073577649866506240","Fri Dec 14 13:57:12 +0000 2018",
"1073577377396076551","Fri Dec 14 13:56:07 +0000 2018",
