,Anzahl,Firma,Jahr,Lehrstelle,Ort
61,2,Remo Schönenberger AG,2019,Detailhandelsassistent/in (Eisenwaren) EBA,Kirchberg SG (SG)
62,1,Bucher Bauspenglerei AG,2019,Detailhandelsassistent/in (Elektrofach) EBA,Knutwil (LU)
63,1,Schneitter AG,2019,Detailhandelsassistent/in (Farben) EBA,Langendorf (SO)
64,2,Bernhard Polybau AG,2019,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Langenthal (BE)
65,1,Böhi + Wirz AG,2019,Detailhandelsassistent/in (Flower) EBA,Liestal (BL)
66,1,Hans Racine AG,2019,Detailhandelsassistent/in (Garden) EBA,Luzern (LU)
67,1,Schäfer Stammbach Partner AG,2019,Detailhandelsassistent/in (Haushalt) EBA,Luzern (LU)
68,1,Burkhardt Gebäudehülle AG,2019,Detailhandelsassistent/in (Kiosk) EBA,Maienfeld (GR)
69,1,Buholzer Marcel AG,2019,Detailhandelsassistent/in (Landi) EBA,Meggen (LU)
70,1,M. Kneubühler AG,2019,Detailhandelsassistent/in (Lederwaren und Reiseartikel) EBA,Menznau (LU)
71,1,Mazzeo Bedachungen und Spenglerei AG,2019,Detailhandelsassistent/in (Möbel) EBA,Mettlen (TG)
72,1,MANZ ISOLAZIONI SA,2019,Detailhandelsassistent/in (Musikinstrumente) EBA,Mezzovico (TI)
73,1,Elmer + Blumer Bedachungen AG,2019,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Mollis (GL)
74,1,TECTON AG Bern,2019,Detailhandelsassistent/in (Öffentlicher Verkehr) EBA,Muri b. Bern (BE)
75,1,casa-technica.ch,2019,Detailhandelsassistent/in (Papeterie) EBA,Näfels (GL)
76,1,Aschwanden AG,2019,Detailhandelsassistent/in (Parfumerie) EBA,Nänikon (ZH)
77,1,TECTON Abdichtungen AG,2019,Detailhandelsassistent/in (Post) EBA,Niederbipp (BE)
78,2,Ackermann Gebäudehüllen GmbH,2019,Detailhandelsassistent/in (Schuhe) EBA,Niederurnen (GL)
79,1,Hutter Bedachungen AG,2019,Detailhandelsassistent/in (Spielwaren) EBA,Oberriet SG (SG)
80,1,Tecton-Fladag AG,2019,Detailhandelsassistent/in (Sportartikel) EBA,Pratteln (BL)
81,1,A+B Flachdach AG,2019,Detailhandelsassistent/in (Teppich und Bodenbeläge) EBA,Reinach BL (BL)
82,1,Bühler,2019,Detailhandelsassistent/in (Textil) EBA,Romanshorn (TG)
83,1,Streule & Alder AG,2019,"Detailhandelsassistent/in (Uhren, Schmuck, Edelsteine) EBA",Rorschach (SG)
84,1,Bucher Dach AG,2019,Detailhandelsassistent/in (Zoofachhandel) EBA,Rotkreuz (ZG)
85,1,R. Müller AG,2019,"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Beratung",Rüti ZH (ZH)
86,1,greencover ag,2019,Detailhandelsfachmann/-frau Beratung (Autoteile-Logistik) EFZ,Sargans (SG)
87,1,Eberle Gebäudehülle AG,2019,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Schaan (FL)
88,1,Thomas Bollinger,2019,Detailhandelsfachmann/-frau Beratung (Consumer-Electronics) EFZ,Schleitheim (SH)
89,3,TECTON AG Zürich,2019,Detailhandelsfachmann/-frau Beratung (Do-it-yourself) EFZ,Schlieren (ZH)
90,1,Markus Zemp,2019,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Schüpfheim (LU)
91,1,Martin Schönenberger AG,2019,Detailhandelsfachmann/-frau Beratung (Elektrofach) EFZ,Schwarzenbach SG (SG)
92,1,Brändle Gebäudehüllen AG,2019,Detailhandelsfachmann/-frau Beratung (Farben) EFZ,Sirnach (TG)
93,1,Geneux-Dancet SA,2019,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Sitten (VS (fr))
94,1,Grob AG Gebäudehüllen,2019,Detailhandelsfachmann/-frau Beratung (Flower) EFZ,St. Gallen (SG)
95,1,Merz + Egger AG,2019,Detailhandelsfachmann/-frau Beratung (Garden) EFZ,St. Gallen (SG)
96,2,TECTON AG St. Gallen,2019,Detailhandelsfachmann/-frau Beratung (Haushalt) EFZ,St. Gallen (SG)
97,1,Weibel AG,2019,Detailhandelsfachmann/-frau Beratung (Kiosk) EFZ,St. Gallen (SG)
98,1,Schönenberger + Rieser AG,2019,Detailhandelsfachmann/-frau Beratung (Landi) EFZ,Sulgen (TG)
99,1,Bedafa-Tech AG,2019,Detailhandelsfachmann/-frau Beratung (Lederwaren und Reiseartikel) EFZ,Sursee (LU)
100,1,"Brenner AG, Tägerwilen",2019,Detailhandelsfachmann/-frau Beratung (Möbel) EFZ,Tägerwilen (TG)
101,1,Scherrer,2019,Detailhandelsfachmann/-frau Beratung (Musikinstrumente) EFZ,Thayngen (SH)
102,1,Hansjörg Hug AG,2019,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Unterägeri (ZG)
103,1,Schmidlin Spenglerei & Bedachungen,2019,Detailhandelsfachmann/-frau Beratung (Öffentlicher Verkehr) EFZ,Unterägeri (ZG)
104,1,Hans Studach's Erben AG,2019,Detailhandelsfachmann/-frau Beratung (Papeterie) EFZ,Untervaz (GR)
105,1,Bernhard AG,2019,Detailhandelsfachmann/-frau Beratung (Parfümerie) EFZ,Utzenstorf (BE)
106,2,Guggisberg Dachtechnik AG,2019,Detailhandelsfachmann/-frau Beratung (Post) EFZ,Wabern (BE)
107,1,dach müggler ag,2019,Detailhandelsfachmann/-frau Beratung (Schuhe) EFZ,Waldkirch (SG)
108,1,Growe AG,2019,Detailhandelsfachmann/-frau Beratung (Spielwaren) EFZ,Wichtrach (BE)
109,1,Fritz Gresser AG,2019,Detailhandelsfachmann/-frau Beratung (Sportartikel) EFZ,Widnau (SG)
110,1,Spirig Vogel Haustech GmbH,2019,Detailhandelsfachmann/-frau Beratung (Teppich und Bodenbeläge) EFZ,Widnau (SG)
111,1,B. Stillhart,2019,Detailhandelsfachmann/-frau Beratung (Textil) EFZ,Wil SG (SG)
112,1,Eigenmann AG,2019,Detailhandelsfachmann/-frau Beratung (Uhren-Schmuck-Edelsteine) EFZ,Wittenbach (SG)
113,1,Zihlmann AG,2019,Detailhandelsfachmann/-frau Beratung (Zoofachhandel) EFZ,Wolhusen (LU)
114,1,Geneux-Dancet SA,2019,"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Bewirtschaftung",Yverdon-les-Bains (VD)
115,2,Preisig AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Autoteile-Logistik) EFZ,Zürich (ZH)
116,1,Scherrer Metec AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Bäckerei/Konditorei/Confiserie) EFZ,Zürich (ZH)
117,1,Jakob Tanner AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Consumer-Electronics) EFZ,Aadorf (TG)
118,1,Bortis Dächer und Fassaden,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Do-it-yourself) EFZ,Baar (ZG)
119,1,Bürer Flachdach AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Eisenwaren) EFZ,Bad Ragaz (SG)
120,1,Carl Meier Sohn AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Elektrofach) EFZ,Bassersdorf (ZH)
121,1,De Luca Isolationen AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Farben) EFZ,Biel/Bienne (BE)
122,2,Meyer's Söhne AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Fleischwirtschaft) EFZ,Chur (GR)
123,2,Schoop + Co. AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Flower) EFZ,Dättwil AG (AG)
124,1,Giger GmbH Degersheim,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Garden) EFZ,Degersheim (SG)
125,1,W. Bosshard AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Haushalt) EFZ,Dietikon (ZH)
126,1,Dachbau Frei AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Kiosk) EFZ,Domat/Ems (GR)
127,1,Bohl AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Landi) EFZ,Emmen (LU)
128,1,BEPA Heinz Imboden AG,2019,Detailhandelsfachmann/-frau Bewirtschaftung (Lederwaren und Reiseartikel) EFZ,Engelberg (OW)
