,Addresse,City,Lat,Lng,Name,Rating
50,"Via Pasquale Lucchini 1, 6900 Lugano, Switzerland",Lugano,46.0058261,8.9570125,Parq,4.2
51,"Corso Elvezia 19, 6900 Lugano, Switzerland",Lugano,46.0079877,8.955742299999999,Il Clandestino,4.8
52,"Via Giosuè Carducci 4, 6900 Lugano, Switzerland",Lugano,46.004765,8.953227,Ristorante Trattoria Galleria,4.4
53,"Str. di Pregassona 44, 6963 Lugano, Switzerland",Lugano,46.0237685,8.9764264,Etnic,4.0
54,"Salita M. e A. Chiattone 10, 6900 Lugano, Switzerland",Lugano,46.0053452,8.9501847,Manora,4.1
55,"Via Giovanni Nizzola 2, 6900 Lugano, Switzerland",Lugano,46.0058038,8.9531111,Orologio,4.5
56,"Via Cattedrale 16, 6900 Lugano, Switzerland",Lugano,46.0052836,8.948688899999999,Pasta e Pesto,4.4
57,"Crocicchio Cortogna 1, 6900 Lugano, Switzerland",Lugano,46.0040863,8.951456799999999,Bistrot & Pizza Argentino,4.3
58,"Via Cattedrale 12, 6900 Lugano, Switzerland",Lugano,46.0051727,8.949202099999999,Osteria Trani,4.3
59,"Via dei Gorini 2, 6900 Lugano, Switzerland",Lugano,46.00413469999999,8.9507447,La Tinera,4.5
60,"Via Alla Bozzoreda 4, 6963 Lugano, Switzerland",Lugano,46.0197653,8.973677799999999,Ristorante Pizzeria del Sole,4.3
61,"Riva Vincenzo Vela 4, 6900 Lugano, Switzerland",Lugano,46.0021308,8.9500777,La Cucina di Alice,4.2
62,"Via Massimiliano Magatti 3, 6900 Lugano, Switzerland",Lugano,46.0042649,8.9520318,Bottegone,4.4
63,"Via al Forte 2, 6900 Lugano, Switzerland",Lugano,46.005288,8.9529505,Natural Food,4.6
64,"Via Stauffacher 1, 6900 Lugano, Switzerland",Lugano,46.003874,8.9551211,Ristorante SEVEN LUGANO the restaurant,4.3
65,"Via Pessina 3, 6900 Lugano, Switzerland",Lugano,46.003887,8.950201,Grand Café Al Porto,4.5
66,"Via Rinaldo Simen 14, 6900 Lugano, Switzerland",Lugano,46.01365819999999,8.957132399999999,Canvetto Luganese,4.3
67,"Riva Paradiso 2, 6900 Lugano - Paradiso, Switzerland",Lugano,45.992731,8.946133999999999,Metamorphosis,4.4
68,"Via Serafino Balestra 20, 6900 Lugano, Switzerland",Lugano,46.0076887,8.958149599999999,Fingy's,4.7
69,"Piazza Lucchini 5, 6978 Lugano, Switzerland",Lugano,46.005605,9.003596,Ristorante Antico,4.1
70,"Via Clemente Maraini, 6900 Lugano, Switzerland",Lugano,46.0044759,8.9476339,AnaCapri Ristorante SA,3.8
71,"16, Viale Castagnola, 6900 Lugano, Switzerland",Lugano,46.0057992,8.9658487,La Fermata,4.6
72,"Via Silvio Calloni 18, 6900 Lugano, Switzerland",Lugano,45.9925144,8.9430531,Ristorante Al Barilotto Lugano,4.1
73,"Piazza Emilio Bossi 7, 6900 Lugano, Switzerland",Lugano,46.00510509999999,8.9703538,Ristorante Arté,4.7
74,"Piazza Riziero Rezzonico 7, 6900 Lugano, Switzerland",Lugano,46.0026889,8.9503665,Spaghetti Store SA,4.0
75,"Piazza Indipendenza 9, 6901 Lugano, Switzerland",Lugano,46.0057336,8.9551217,Restaurant Pestalozzi Lugano,3.8
76,"Piazza Riforma 10, 6900 Lugano, Switzerland",Lugano,46.0039712,8.9514857,Tango Riforma SA,3.9
77,"Via Degli Albrizzi 3, 6900 Lugano, Switzerland",Lugano,46.00411,8.9531343,La Fattoria di Guido Sassi,4.2
78,"Via al Boschetto 8, 6900 Lugano, Switzerland",Lugano,45.9896857,8.939067399999999,Ristorante Locanda del Boschetto,4.3
79,"Riva Paradiso 24, 6900 Lugano, Switzerland",Lugano,45.99037999999999,8.9504582,Ristorante Indiano Indian Thali (10 min walk to lugano center,4.1
80,"piazza della riforma 1, 6900 Lugano, Switzerland",Lugano,46.0031792,8.951312399999999,Agua Lugano,3.6
81,"Via Cantonale, 6912 Lugano, Switzerland",Lugano,45.982992,8.956389,Capo San Martino Restaurant,4.3
82,"Via Giuseppe Motta 7, 6900 Lugano, Switzerland",Lugano,46.0039184,8.949743999999999,Sayuri,4.1
83,"8, Piazza Cioccaro, 6900 Lugano, Switzerland",Lugano,46.005109,8.949925,Cantinone,4.1
84,"Viale Carlo Cattaneo 21, 6900 Lugano, Switzerland",Lugano,46.0059115,8.9595511,Bee Mauri bar e ristorante veg,4.4
85,"Via Ronchetto 6, 6900 Lugano, Switzerland",Lugano,46.021172,8.957424999999999,Grotto Grillo,4.4
86,"Via Foce 9, 6900 Lugano, Switzerland",Lugano,46.0033205,8.961738100000002,Antica Osteria del Porto,4.2
87,"Via Antonio Fusoni 18, 6900 Lugano, Switzerland",Lugano,46.00906699999999,8.959439999999999,I Calafatari,4.5
88,"Via della Posta 4, 6900 Lugano, Switzerland",Lugano,46.0046573,8.9531906,Convivio,4.2
89,"Via ai Canvetti 15, 6926 Montagnola, Collina d'Oro, Switzerland",Lugano,45.9891618,8.9218277,Tabla Indian Restaurant,4.4
90,"Via Zurigo 6, 6900 Lugano, Switzerland",Lugano,46.0117838,8.954420299999999,Ristorante Wong Ho,4.1
91,"Piazza Riforma 9, 6900 Lugano, Switzerland",Lugano,46.0040159,8.9511149,Cina,4.1
92,"Via Luigi Canonica 5, 6900 Lugano, Switzerland",Lugano,46.0068638,8.9567414,Deseo,4.4
93,"Piazza Indipendenza 4, 6900 Lugano, Switzerland",Lugano,46.0048934,8.955746999999999,Ciani Lugano,4.1
94,"Piazza Alighieri Dante, 6901 Lugano, Switzerland",Lugano,46.0048298,8.9509204,Ristorante Commercianti,4.1
