Player,BEST
Shaquille O'Neal,1.0598802395209581
DeMarcus Cousins,1.04321950655804
Anthony Davis,1.0399074203955674
Kareem Abdul-Jabbar,1.027330014274275
Hakeem Olajuwon,1.0069202587181691
Moses Malone,1.0062789820505424
David Robinson,0.9990663204271584
Bob McAdoo,0.9878208070039185
Michael Jordan,0.9718849061204584
Patrick Ewing,0.9685175149036803
